Word,Count,POS,Definition
armor,5,n,tough more-or-less rigid protective covering of an animal or plant
armor,5,n,protective covering made of metal and used in combat
armor,5,n,a military unit consisting of armored fighting vehicles
aroma,5,n,a distinctive odor that is pleasant
array,5,n,an arrangement of aerials spaced to give desired directional characteristics
array,5,n,especially fine or decorative clothing
array,5,n,an impressive display; it was a bewildering array of books; his tools were in an orderly array on the basement wall
array,5,n,an orderly arrangement; an array of troops in battle order
arrow,5,n,a projectile with a straight thin shaft and an arrowhead on one end and stabilizing vanes on the other; intended to be shot from a bow
arrow,5,n,a mark to indicate a direction or relation
arson,5,n,malicious burning to destroy property; the British term for arson is fire-raising
Aruba,5,n,a popular island resort in the Netherlands Antilles
Arulo,5,n,an artificial language intended for international use as an auxiliary language
Aruru,5,n,mother and earth goddess in Gilgamish epic; identified with Sumerian Ki and Ninkhursag
Aryan,5,n,a member of the prehistoric people who spoke Proto-Indo European
Aryan,5,n,(according to Nazi doctrine) a Caucasian person of Nordic descent (and not a Jew)
Asama,5,n,"a volcano in central Honshu near Nagano; one of the largest volcanoes in Japan (8,340 feet)"
asana,5,n,(Hinduism) a posture or manner of sitting (as in the practice of yoga)
Asarh,5,n,the fourth month of the Hindu calendar
ascot,5,n,a cravat with wide square ends; secured with an ornamental pin
ascus,5,n,saclike structure in which ascospores are formed through sexual reproduction of ascomycetes
Ashur,5,n,chief god of the Assyrians; god of military prowess and empire; identified with Babylonian Anshar
Asian,5,n,a native or inhabitant of Asia
aside,5,n,a line spoken by an actor to the audience but not intended for others on the stage
aspen,5,n,any of several trees of the genus Populus having leaves on flattened stalks so that they flutter in the lightest wind
asper,5,n,20 aspers equal 1 kurus in Turkey
aspic,5,n,savory jelly based on fish or meat stock used as a mold for meats or vegetables
Assam,5,n,state in northeastern India
assay,5,n,a quantitative or qualitative test of a substance (especially an ore or a drug) to determine its components; frequently used to test for the presence or concentration of infectious agents or antibodies etc.
assay,5,n,an appraisal of the state of affairs; they made an assay of the contents; a check on its dependability under stress
assay,5,n,a written report of the results of an analysis of the composition of some substance
assay,5,n,a substance that is undergoing an analysis of its components
asset,5,n,a useful or valuable quality
Assur,5,n,an ancient Assyrian city on the Tigris and traditional capital of Assyria; just to the south of the modern city of Mosul in Iraq
aster,5,n,star-shaped structure formed in the cytoplasm of a cell having fibers like rays that surround the centrosome during mitosis
aster,5,n,any of various chiefly fall-blooming herbs of the genus Aster with showy daisylike flowers
Astor,5,n,United States capitalist (born in Germany) who made a fortune in fur trading (1763-1848)
Astor,5,n,British politician (born in the United States) who was the first woman to sit in the British House of Commons (1879-1964)
Asura,5,n,earlier a god; later a demon; counterpart of Zoroastrian Ahura
Aswan,5,n,an ancient city on the Nile in Egypt; two dams across the Nile have been built nearby
Athos,5,n,an autonomous area in northeastern Greece that is the site of several Greek Orthodox monasteries founded in the tenth century
atlas,5,n,a figure of a man used as a supporting column
atlas,5,n,the 1st cervical vertebra
atlas,5,n,a collection of maps in book form
Atlas,5,n,(Greek mythology) a Titan who was forced by Zeus to bear the sky on his shoulders
atole,5,n,eaten as mush or as a thin gruel
atoll,5,n,an island consisting of a circular coral reef surrounding a lagoon
attar,5,n,essential oil or perfume obtained from flowers
