Word,Count,POS,Synonyms
crack,5,verb,check;break|snap|break through|snap|crack up;crock up;break up;collapse
crack,5,satellite,ace;A-one;first-rate;super;tiptop;topnotch;top-notch;tops
crank,5,noun,grouch;grump;churl;crosspatch|crackpot;nut;nut case;fruitcake;screwball|methamphetamine;methamphetamine hydrochloride;Methedrine;meth;deoxyephedrine;chalk;chicken feed;glass;ice;shabu;trash|starter
crank,5,verb,zigzag|crank up|crank up
crank,5,satellite,cranky;tender;tippy
crazy,5,noun,loony;looney;nutcase;weirdo
crazy,5,satellite,brainsick;demented;disturbed;mad;sick;unbalanced;unhinged|half-baked;screwball;softheaded|wild;dotty;gaga
crisp,5,noun,chip;potato chip;Saratoga chip
crisp,5,verb,wrinkle;ruckle;crease;crinkle;scrunch;scrunch up|crispen;toast
crisp,5,satellite,sharp|crispy|frosty;nipping;nippy;snappy|frizzly;frizzy;kinky;nappy|curt;laconic;terse
cross,5,noun,crisscross;mark|Cross|crown of thorns|hybrid;crossbreed|hybridization;hybridisation;crossbreeding;crossing;interbreeding;hybridizing
cross,5,verb,traverse;track;cover;pass over;get over;get across;cut through;cut across|intersect|thwart;queer;spoil;scotch;foil;frustrate;baffle;bilk|traverse;span;sweep|crossbreed;hybridize;hybridise;interbreed
cross,5,satellite,transverse;transversal;thwartwise|crabbed;crabby;fussy;grouchy;grumpy;bad-tempered;ill-tempered
crude,5,noun,petroleum;crude oil;rock oil;fossil oil;oil
crude,5,satellite,rough|earthy;gross;vulgar|primitive;rude|blunt;stark|raw
crude,5,adjective,unrefined;unprocessed
cruel,5,satellite,barbarous;brutal;fell;roughshod;savage;vicious
cuban,5,noun,Cuban
cuban,5,adjective,Cuban
cubic,5,adjective,three-dimensional
cured,5,verb,bring around;cure;heal|cure|cure|cure
cured,5,satellite,healed;recovered|vulcanized;vulcanised|corned|aged
curst,5,verb,curse;cuss;blaspheme;swear;imprecate|curse|curse;beshrew;damn;bedamn;anathemize;anathemise;imprecate;maledict|excommunicate;unchurch;curse
curst,5,adjective,cursed
curvy,5,satellite,curvey|bosomy;busty;buxom;curvaceous;full-bosomed;sonsie;sonsy;stacked;voluptuous;well-endowed
cushy,5,satellite,soft;easygoing
cxxxv,5,satellite,one hundred thirty-five;135
czech,5,noun,Czech|Czechoslovakian;Czechoslovak;Czech|Czech
czech,5,adjective,Czech;Czechoslovakian
daily,5,satellite,day-to-day;day-by-day;day-after-day|casual;everyday
daily,5,adverb,day by day
dandy,5,noun,dude;fop;gallant;sheik;beau;swell;fashion plate;clotheshorse|yawl
dandy,5,satellite,bang-up;bully;corking;cracking;great;groovy;keen;neat;nifty;not bad;peachy;slap-up;swell;smashing
dated,5,verb,date|date;date stamp|date|go steady;go out;date;see|date
dazed,5,verb,dazzle;bedazzle;daze|stun;bedaze;daze
dazed,5,satellite,stunned;stupefied;stupid|foggy;groggy;logy;stuporous
deist,5,noun,freethinker
deist,5,adjective,deistic
dense,5,satellite,heavy;impenetrable|thick|dim;dull;dumb;obtuse;slow
dicey,5,satellite,chancy;chanceful;dodgy
dicky,5,noun,dickey;dickie;dickey-seat;dickie-seat;dicky-seat|dickey;dickie;shirtfront
dicky,5,satellite,dickey
dingy,5,satellite,begrimed;grimy;grubby;grungy;raunchy|dirty;muddied;muddy|blue;dark;disconsolate;dismal;gloomy;grim;sorry;drab;drear;dreary
dinky,5,noun,dinkey
dirty,5,verb,soil;begrime;grime;colly;bemire
dirty,5,adjective,soiled;unclean|contaminating
dirty,5,satellite,filthy;lousy|pestiferous|dingy;muddied;muddy|foul;marked-up|ill-gotten|cheating;foul;unsporting;unsportsmanlike|sordid
dizzy,5,satellite,giddy;woozy;vertiginous|airheaded;empty-headed;featherbrained;giddy;light-headed;lightheaded;silly
dodgy,5,satellite,chancy;chanceful;dicey|crafty;cunning;foxy;guileful;knavish;slick;sly;tricksy;tricky;wily
domed,5,satellite,vaulted
doped,5,verb,dope|dope|dope;dope up
doped,5,satellite,drugged;narcotized;narcotised
dopey,5,satellite,anserine;dopy;foolish;goosey;goosy;gooselike;jerky
doric,5,noun,Doric;Doric dialect
dormy,5,satellite,dormie
dosed,5,verb,dose|drug;dose
dotty,5,satellite,balmy;barmy;bats;batty;bonkers;buggy;cracked;crackers;daft;fruity;haywire;kooky;kookie;loco;loony;loopy;nuts;nutty;round the bend;around the bend;wacky;whacky|crazy;wild;gaga
dowdy,5,noun,Dowding;Hugh Dowding;Baron Hugh Caswall Tremenheere Dowding;Dowdy|pandowdy
dowdy,5,satellite,frumpy;frumpish
downy,5,satellite,downlike;flossy;fluffy|pubescent;puberulent;sericeous
dozen,5,noun,twelve;12;XII
dozen,5,satellite,twelve;12;xii
drawn,5,verb,pull;draw;force|reap;draw|trace;draw;line;describe;delineate|draw;make|draw;pull;pull out;get out;take out|draw|draw;take out|describe;depict;draw|draw|draw|puff;drag;draw|draw|withdraw;draw;take out;draw off|draw;cast|draw;get|draw|draw|draw|draw|draw|draw|draw|draw;quarter;draw and quarter|pull;draw|absorb;suck;imbibe;soak up;sop up;suck up;draw;take in;take up|attract;pull;pull in;draw;draw in|string;thread;draw|pull back;draw|guide;run;draw;pass|tie;draw|draw|draw|draw|disembowel;eviscerate;draw|draw|draw
drawn,5,satellite,careworn;haggard;raddled;worn
dread,5,noun,apprehension;apprehensiveness
dread,5,verb,fear
dread,5,satellite,awful;dire;direful;dreaded;dreadful;fearful;fearsome;frightening;horrendous;horrific;terrible
drear,5,satellite,blue;dark;dingy;disconsolate;dismal;gloomy;grim;sorry;drab;dreary
dress,5,noun,frock|attire;garb|apparel;wearing apparel;clothes
dress,5,verb,get dressed|clothe;enclothe;garb;raiment;tog;garment;habilitate;fit out;apparel|dress up|preen;primp;plume|dress out|line up|trim;garnish|decorate|snip;clip;crop;trim;lop;prune;cut back|groom;curry|arrange;set;do;coif;coiffe;coiffure
dress,5,satellite,full-dress|full-dress
dried,5,verb,dry;dry out|dry;dry out
dried,5,satellite,dehydrated;desiccated
drunk,5,noun,drunkard;rummy;sot;inebriate;wino
drunk,5,verb,drink;imbibe|drink;booze;fuddle|toast;drink;pledge;salute;wassail|drink in;drink|drink;tope
drunk,5,adjective,intoxicated;inebriated
drunk,5,satellite,intoxicated
dummy,5,noun,silent person|dumbbell;dope;boob;booby;pinhead|blank;blank shell
dummy,5,verb,dummy up
dumpy,5,satellite,chunky;low-set;squat;squatty;stumpy|podgy;pudgy;tubby;roly-poly
duple,5,satellite,double;dual
dusky,5,satellite,twilight;twilit|dark-skinned;swart;swarthy
dusty,5,satellite,dust-covered|cold;stale;moth-eaten
dutch,5,noun,Dutch;Dutch people|Dutch
dutch,5,adjective,Dutch
dying,5,noun,death;demise
dying,5,verb,die;decease;perish;go;exit;pass away;expire;pass;kick the bucket;cash in one's chips;buy the farm;conk;give-up the ghost;drop dead;pop off;choke;croak;snuff it|die|die|fail;go bad;give way;die;give out;conk out;go;break;break down|die|die|die;die out|die|die;pall;become flat|die|die
dying,5,satellite,anxious
eager,5,noun,tidal bore;bore;eagre;aegir
eared,5,satellite,dog-eared
early,5,satellite,former;other
early,5,adverb,early on|ahead of time;too soon|betimes
