lemma,Count,part_of_speech,hypernyms
blend,5,verb,mix|harmonize|change integrity
bless,5,verb,raise|confer|gesticulate|declare
blest,5,verb,raise|confer|gesticulate|declare
blimp,5,noun,reactionary|airship
blind,5,noun,people|screen|protective covering|misrepresentation
blind,5,verb,change|darken
bling,5,noun,jewelry
blini,5,noun,pancake
blink,5,noun,reflex
blink,5,verb,act involuntarily|suppress|radiate
bliny,5,noun,pancake
bliss,5,noun,elation
blitt,5,noun,bachelor's degree
blitz,5,noun,maneuver|attack
blitz,5,verb,attack
bloat,5,noun,swelling
bloat,5,verb,swell|swell
block,5,noun,artifact|area|solid|collection|housing|computer memory unit|inability|machine|cast|obstruction|platform|obstruction
block,5,verb,obstruct|prevent|prevent|interrupt|operate|anesthetize|hide|emboss|clog|impede|hold|fence|shape|shape|withhold
bloke,5,noun,male
blond,5,noun,person|chromatic color
blood,5,noun,liquid body substance|disposition|libertine|genealogy|people
blood,5,verb,daub
bloom,5,noun,organic process|reproductive structure|time of life|good health|time period|crystallization
bloom,5,verb,develop
blown,5,verb,exhale|exhaust|travel|sound|shape|fail|use|spend|sound|sound|stimulate|send|move|spurt|go|lay|unwrap|overstate|rest|fail|burst
blues,5,noun,black music;folk song|depression|chromatic color|clothing|organization|sky|dye|amobarbital|lycaenid
blues,5,verb,discolor
bluff,5,noun,bank|pretense|deception
bluff,5,verb,move|frighten
blunt,5,verb,weaken|desensitize|change|change|change
blurb,5,noun,promotion
blurt,5,verb,talk
blush,5,noun,good health|reflex
blush,5,verb,discolor|redden
board,5,noun,committee|lumber|sheet|fare|display|table|electrical device|printed circuit|surface
board,5,verb,enter|populate|use|provide
boast,5,noun,speech act
boast,5,verb,overstate|have
bobby,5,noun,policeman
bocce,5,noun,bowling
bocci,5,noun,bowling
boche,5,noun,german
bodge,5,verb,fail
boeuf,5,noun,meat
bogey,5,noun,evil spirit|score|aircraft
bogey,5,verb,shoot
bogie,5,noun,evil spirit|aircraft
bolti,5,noun,cichlid
bolus,5,noun,ball|pill
bonce,5,noun,human head
boned,5,verb,study|remove
boner,5,noun,mistake
bones,5,noun,percussion instrument|connective tissue|animal material|white
bones,5,verb,study|remove
bongo,5,noun,drum|antelope
bonus,5,noun,positive stimulus|payment
booby,5,noun,simpleton|gannet
boost,5,noun,aid|increase|push
boost,5,verb,raise|increase|support|increase|thrust
booth,5,noun,table|closet|shop
booty,5,noun,stolen property
booze,5,noun,alcohol
booze,5,verb,consume
borax,5,noun,mineral
bored,5,verb,cut
borer,5,noun,drill|invertebrate
boron,5,noun,chemical element
borsh,5,noun,soup
bosie,5,noun,bowling
bos'n,5,noun,mariner
bosom,5,noun,privacy|breast|cloth covering|adoption|intuition|mammary gland
bosom,5,verb,hide|clasp
boson,5,noun,particle
bosun,5,noun,mariner
botch,5,noun,mistake
botch,5,verb,fail
botox,5,noun,botulinum toxin
bough,5,noun,limb
boule,5,noun,embellishment
bound,5,noun,line|extremity|extent|jump
bound,5,verb,move|enclose|control|jump|attach|relate|attach|fasten|restrain|relate|cover|fasten|adhere|indispose
bourn,5,noun,boundary|goal
bouse,5,verb,haul
bovid,5,noun,ruminant
bowed,5,verb,gesticulate|yield|change posture|bend|play
bowel,5,noun,internal organ
bower,5,noun,framework
bower,5,verb,enclose
bowls,5,noun,bowling|vessel|concave shape|dish|containerful|structure|ball|ball|container|propulsion
bowls,5,verb,wheel|hurl|play
bowse,5,verb,haul
boxed,5,verb,encase|hit|contend
boxer,5,noun,combatant|workman|chinese|working dog
brace,5,noun,strengthener;support|two|set|punctuation|rope|man's clothing|dental appliance|stock|strengthener;structural member
brace,5,verb,fix|strengthen|hold|affect
bract,5,noun,husk
braid,5,noun,hairdo|trimming
braid,5,verb,weave|decorate|weave
brail,5,noun,net|rope
brail,5,verb,roll up|fish
brain,5,noun,neural structure|intelligence|cognition|intellectual|variety meat
brain,5,verb,hit|kill
brake,5,noun,restraint|fern|fern|brush|restraint
brake,5,verb,stop|stop
brama,5,noun,fish genus
brand,5,noun,name|kind|marker|firewood|symbol|weapon
brand,5,verb,mark|label|tag|call
brant,5,noun,goose
brass,5,noun,copper-base alloy|wind instrument|body|aggressiveness|decoration|section|memorial
brave,5,noun,warrior|people
brave,5,verb,defy
bravo,5,noun,murderer|cheer
bravo,5,verb,applaud
brawl,5,noun,party|fight
brawl,5,verb,quarrel
brawn,5,noun,strength
braze,5,verb,solder
bread,5,noun,baked goods;starches|money
bread,5,verb,cover
break,5,noun,happening|accident|crack|separation|pause|change of integrity|time interval|injury|separation|change|stroke|score|delay|dash|score|escape
break,5,verb,end|change integrity|damage|destroy|separate|disrespect|escape|disperse|express emotion|end|trespass|domesticate|surpass|tell|become|change|separate|flee|collapse|deaden|change|end|change|discontinue|come forth|happen|ruin|invalidate|delegate|impoverish|switch|appear|change|dance|change|change|shoot|separate|decay|detach|penetrate|interrupt|interrupt|diphthongize|destroy|solve|switch|happen|change|change state|decrease|injure|decrease|weaken
bream,5,noun,freshwater fish|saltwater fish|percoid fish|sunfish
bream,5,verb,clean
